L. Suárez,Barcelona,18,http://cache.images.core.optasports.com/soccer/players/150x150/2290.png,18
K. Benzema,Real Madrid,16,http://cache.images.core.optasports.com/soccer/players/150x150/1595.png,15
Neymar,Barcelona,16,http://cache.images.core.optasports.com/soccer/players/150x150/102697.png,17
Cristiano Ronaldo,Real Madrid,16,http://cache.images.core.optasports.com/soccer/players/150x150/382.png,20
G. Bale,Real Madrid,13,http://cache.images.core.optasports.com/soccer/players/150x150/15482.png,15
Agirretxe,Real Sociedad,12,http://cache.images.core.optasports.com/soccer/players/150x150/3230.png,15
A. Griezmann,Atlético,12,http://cache.images.core.optasports.com/soccer/players/150x150/92385.png,20
Lucas Pérez,La Coruña,12,http://cache.images.core.optasports.com/soccer/players/150x150/115127.png,20
Aduriz,Athletic Club,11,http://cache.images.core.optasports.com/soccer/players/150x150/3163.png,19
K. Gameiro,Sevilla,11,http://cache.images.core.optasports.com/soccer/players/150x150/13690.png,18
Borja Bastón,Eibar,10,http://cache.images.core.optasports.com/soccer/players/150x150/95842.png,18
L. Messi,Barcelona,10,http://cache.images.core.optasports.com/soccer/players/150x150/119.png,14
Paco Alcácer,Valencia,9,http://cache.images.core.optasports.com/soccer/players/150x150/164611.png,19
Iago Aspas,Celta de Vigo,9,http://cache.images.core.optasports.com/soccer/players/150x150/61909.png,20
Javi Guerra,Vallecano,9,http://cache.images.core.optasports.com/soccer/players/150x150/60957.png,17
